Date,AAPL,AMZN,GOOGL,MSFT,SPY,MKT,SMB,HML,RMW,CMA,RF
2015-01-05,-0.028576131599547,-0.02073069374229033,-0.019237829854618128,-0.009238219147787956,-0.018224982117305118,-1.84,0.25,-0.68,0.16,-0.08,0.0
2015-01-06,9.405021557563348e-05,-0.02309805250552857,-0.02498907289153351,-0.014785534420486702,-0.009463421932349489,-1.04,-0.78,-0.31,0.53,0.02,0.0
2015-01-07,0.01392465944837122,0.010543956937772861,-0.0029453183299254,0.012625210952268035,0.012383875561045164,1.19,0.17,-0.66,0.25,-0.14,0.0
2015-01-08,0.037702694684119485,0.006812759380520335,0.003478107575458999,0.028993283961285653,0.01758943833101669,1.81,-0.1,-0.28,0.11,-0.16,0.0
2015-01-09,0.0010723328617825247,-0.011818170381278284,-0.01228647578597432,-0.008440618196732752,-0.008045713420578499,-0.85,-0.03,-0.47,-0.12,-0.16,0.0
2015-01-12,-0.024949659575105882,-0.018765211590182393,-0.007336265638148332,-0.012581194834721136,-0.007864450262913462,-0.79,0.35,-0.44,0.15,0.17,0.0
2015-01-13,0.008839449348782804,0.011362407445480715,0.009490871071446633,-0.005163349584680383,-0.0028167378911297483,-0.19,0.25,0.01,0.43,0.02,0.0
2015-01-14,-0.0038179990144764707,-0.004999968410075042,0.008196650226039154,-0.008666009927082823,-0.006055373444889315,-0.6,0.27,-0.51,0.19,-0.14,0.0
2015-01-15,-0.027515217970160277,-0.021785701035730624,-0.003802161719752789,-0.010498725513838295,-0.009202667542021481,-1.08,-0.95,0.59,0.71,0.61,0.0
2015-01-16,-0.007800577411492591,0.013121402610751216,0.012716179558951633,0.016572933008017158,0.013029274192064347,1.36,0.49,-0.13,-0.31,-0.1,0.0
2015-01-20,0.025431090967043758,-0.004481346448052067,-0.001019246514314742,0.0032385143436783315,0.0021298693147332767,0.11,-0.75,-0.51,0.03,-0.44,0.0
2015-01-21,0.007605054894907032,0.0266255183222718,0.020285497050112056,-0.010182977042936218,0.005035328278431606,0.42,-0.91,0.57,0.2,-0.02,0.0
2015-01-22,0.025683065233619348,0.04303046145131587,0.0319780306000932,0.02600882129941179,0.014761626092521053,1.58,0.46,0.42,0.01,-0.1,0.0
2015-01-23,0.00514713981957077,0.006648407611927956,0.00861715141561768,0.001060211775345166,-0.005497852401622692,-0.47,0.43,-0.77,-0.05,-0.53,0.0
2015-01-26,0.001061539928849909,-0.008777508890486037,-0.009697180886831027,-0.0036098042326878233,0.0023387997482305915,0.43,0.58,-0.05,-0.42,-0.07,0.0
2015-01-27,-0.03564118153747923,-0.009441849857626305,-0.02936191112406215,-0.0970983747922193,-0.013278289329100502,-1.21,0.73,0.2,-0.36,0.49,0.0
2015-01-28,0.05499285003180458,-0.009301429174865683,-0.01695053170617154,-0.03506621560681529,-0.012906971024316028,-1.39,-0.17,-0.82,0.52,-0.22,0.0
2015-01-29,0.030658606690883154,0.025566165189589755,0.0015600071330337116,0.019712066368711423,0.009201006834235609,0.98,0.21,0.03,0.02,-0.35,0.0
2015-01-30,-0.01474231975639395,0.12849514892877184,0.04629767475464073,-0.039077781965130745,-0.01265447916436837,-1.31,-0.83,0.05,-0.16,-0.45,0.0
2015-02-02,0.012468790635059734,0.027651261355507578,-0.010002417320786694,0.021548549602717647,0.012307740113379286,1.24,-0.38,1.0,0.05,0.13,0.0
2015-02-03,0.0001688240288293548,-0.002527378513748023,0.0020647704604640923,0.007721609797343483,0.014357770533781945,1.49,0.24,0.49,0.05,0.39,0.0
2015-02-04,0.007640326782745443,0.0032953190647652506,-0.013592831602779461,0.005752672794031021,-0.0038150975106772994,-0.35,-0.09,-0.23,0.33,-0.07,0.0
2015-02-05,0.007112124504710225,0.024749489304619617,0.007064912293525287,0.014474178263662853,0.0100443311583128,1.1,0.42,-0.07,-0.54,-0.2,0.0
2015-02-06,-0.008456653591094753,0.0010425830406616764,0.007614871120126387,-0.0009426630667426922,-0.002769164994287823,-0.2,0.09,0.35,-0.18,-0.12,0.0
2015-02-09,0.006620576746916491,-0.00998884955846854,-0.00865348483359225,-0.0011797362538614501,-0.00448580974671111,-0.46,-0.35,0.12,-0.03,-0.03,0.0
2015-02-10,0.019029210270110005,0.006563030833522425,0.02034775158030852,0.005649855630967964,0.01059679364762968,1.05,-0.36,-0.72,0.1,-0.38,0.0
2015-02-11,0.02316838449907249,0.005720888815523967,-0.004006824517812157,-0.005177856646068709,0.0005801383138676113,0.03,-0.16,-0.33,0.08,-0.07,0.0
2015-02-12,0.012573072059574864,0.005396701104405952,0.01477877647317475,0.016614216823811402,0.009571191189752295,1.0,0.17,-0.06,-0.15,-0.29,0.0
